model_no,Var1,model_id
229,zlog_ESAGrassland_DARshed,model1var_229
230,zlog_ESABare_DARshed,model1var_230
231,zlog_ESABuiltup_DARshed,model1var_231
232,zlog_ESAWetland_DARshed,model1var_232
233,zlog_ESATreeCover_DARshed100m,model1var_233
234,zlog_ESAGrassland_DARshed100m,model1var_234
235,zlog_ESABare_DARshed100m,model1var_235
236,zlog_ESABuiltup_DARshed100m,model1var_236
237,zlog_ESAWetland_DARshed100m,model1var_237
238,zlog_ESATreeCover_DARshed500m,model1var_238
239,zlog_ESAGrassland_DARshed500m,model1var_239
240,zlog_ESABare_DARshed500m,model1var_240
241,zlog_ESABuiltup_DARshed500m,model1var_241
242,zlog_ESAWetland_DARshed500m,model1var_242
243,zlog_ESATreeCover_DARshed1km,model1var_243
244,zlog_ESAGrassland_DARshed1km,model1var_244
245,zlog_ESABare_DARshed1km,model1var_245
246,zlog_ESABuiltup_DARshed1km,model1var_246
247,zlog_ESAWetland_DARshed1km,model1var_247
248,zlog_ESATreeCover_DARshed2km,model1var_248
249,zlog_ESAGrassland_DARshed2km,model1var_249
250,zlog_ESABare_DARshed2km,model1var_250
251,zlog_ESABuiltup_DARshed2km,model1var_251
252,zlog_ESAWetland_DARshed2km,model1var_252
253,zlog_percent_impervious_DARshed,model1var_253
254,zlog_percent_impervious_DARshed100m,model1var_254
255,zlog_percent_impervious_DARshed500m,model1var_255
256,zlog_percent_impervious_DARshed1km,model1var_256
257,zlog_percent_impervious_DARshed2km,model1var_257
258,zlog_NLCDBarren_DARshed,model1var_258
259,zlog_NLCDForest_DARshed,model1var_259
260,zlog_NLCDShrub_DARshed,model1var_260
261,zlog_NLCDDeveloped_DARshed,model1var_261
262,zlog_NLCDHerbaceuous_DARshed,model1var_262
263,zlog_NLCDBarren_DARshed100m,model1var_263
264,zlog_NLCDForest_DARshed100m,model1var_264
265,zlog_NLCDShrub_DARshed100m,model1var_265
266,zlog_NLCDDeveloped_DARshed100m,model1var_266
267,zlog_NLCDHerbaceuous_DARshed100m,model1var_267
268,zlog_NLCDBarren_DARshed500m,model1var_268
269,zlog_NLCDForest_DARshed500m,model1var_269
270,zlog_NLCDShrub_DARshed500m,model1var_270
271,zlog_NLCDDeveloped_DARshed500m,model1var_271
272,zlog_NLCDHerbaceuous_DARshed500m,model1var_272
273,zlog_NLCDBarren_DARshed1km,model1var_273
274,zlog_NLCDForest_DARshed1km,model1var_274
275,zlog_NLCDShrub_DARshed1km,model1var_275
276,zlog_NLCDDeveloped_DARshed1km,model1var_276
277,zlog_NLCDHerbaceuous_DARshed1km,model1var_277
278,zlog_NLCDBarren_DARshed2km,model1var_278
279,zlog_NLCDForest_DARshed2km,model1var_279
280,zlog_NLCDShrub_DARshed2km,model1var_280
281,zlog_NLCDDeveloped_DARshed2km,model1var_281
282,zlog_NLCDHerbaceuous_DARshed2km,model1var_282
293,zlog_ESATreeCover_NHDshed,model1var_293
294,zlog_ESAGrassland_NHDshed,model1var_294
295,zlog_ESABare_NHDshed,model1var_295
296,zlog_ESABuiltup_NHDshed,model1var_296
297,zlog_ESAWetland_NHDshed,model1var_297
298,zlog_ESATreeCover_NHDshed100m,model1var_298
299,zlog_ESAGrassland_NHDshed100m,model1var_299
300,zlog_ESABare_NHDshed100m,model1var_300
301,zlog_ESABuiltup_NHDshed100m,model1var_301
302,zlog_ESAWetland_NHDshed100m,model1var_302
303,zlog_ESATreeCover_NHDshed500m,model1var_303
304,zlog_ESAGrassland_NHDshed500m,model1var_304
305,zlog_ESABare_NHDshed500m,model1var_305
306,zlog_ESABuiltup_NHDshed500m,model1var_306
307,zlog_ESAWetland_NHDshed500m,model1var_307
308,zlog_ESATreeCover_NHDshed1km,model1var_308
309,zlog_ESAGrassland_NHDshed1km,model1var_309
310,zlog_ESABare_NHDshed1km,model1var_310
311,zlog_ESABuiltup_NHDshed1km,model1var_311
312,zlog_ESAWetland_NHDshed1km,model1var_312
313,zlog_ESATreeCover_NHDshed2km,model1var_313
314,zlog_ESAGrassland_NHDshed2km,model1var_314
315,zlog_ESABare_NHDshed2km,model1var_315
316,zlog_ESABuiltup_NHDshed2km,model1var_316
317,zlog_ESAWetland_NHDshed2km,model1var_317
318,zlog_percent_impervious_NHDshed,model1var_318
319,zlog_percent_impervious_NHDshed100m,model1var_319
320,zlog_percent_impervious_NHDshed500m,model1var_320
321,zlog_percent_impervious_NHDshed1km,model1var_321
322,zlog_percent_impervious_NHDshed2km,model1var_322
323,zlog_NLCDBarren_NHDshed,model1var_323
324,zlog_NLCDForest_NHDshed,model1var_324
325,zlog_NLCDShrub_NHDshed,model1var_325
326,zlog_NLCDDeveloped_NHDshed,model1var_326
327,zlog_NLCDHerbaceuous_NHDshed,model1var_327
328,zlog_NLCDBarren_NHDshed100m,model1var_328
329,zlog_NLCDForest_NHDshed100m,model1var_329
330,zlog_NLCDShrub_NHDshed100m,model1var_330
331,zlog_NLCDDeveloped_NHDshed100m,model1var_331
332,zlog_NLCDHerbaceuous_NHDshed100m,model1var_332
333,zlog_NLCDBarren_NHDshed500m,model1var_333
334,zlog_NLCDForest_NHDshed500m,model1var_334
335,zlog_NLCDShrub_NHDshed500m,model1var_335
336,zlog_NLCDDeveloped_NHDshed500m,model1var_336
337,zlog_NLCDHerbaceuous_NHDshed500m,model1var_337
338,zlog_NLCDBarren_NHDshed1km,model1var_338
339,zlog_NLCDForest_NHDshed1km,model1var_339
340,zlog_NLCDShrub_NHDshed1km,model1var_340
341,zlog_NLCDDeveloped_NHDshed1km,model1var_341
342,zlog_NLCDHerbaceuous_NHDshed1km,model1var_342
343,zlog_NLCDBarren_NHDshed2km,model1var_343
344,zlog_NLCDForest_NHDshed2km,model1var_344
345,zlog_NLCDShrub_NHDshed2km,model1var_345
346,zlog_NLCDDeveloped_NHDshed2km,model1var_346
347,zlog_NLCDHerbaceuous_NHDshed2km,model1var_347
348,zsqrt_n_osds_site100m,model1var_348
349,zsqrt_n_osds_site500m,model1var_349
350,zsqrt_n_osds_DARshed,model1var_350
351,zsqrt_n_osds_DARshed100m,model1var_351
352,zsqrt_n_osds_DARshed500m,model1var_352
353,zsqrt_n_osds_DARshed1km,model1var_353
354,zsqrt_n_osds_DARshed2km,model1var_354
355,zsqrt_n_osds_NHDshed,model1var_355
356,zsqrt_n_osds_NHDshed100m,model1var_356
357,zsqrt_n_osds_NHDshed500m,model1var_357
358,zsqrt_n_osds_NHDshed1km,model1var_358
359,zsqrt_n_osds_NHDshed2km,model1var_359
360,zsqrt_n_cesspools_site100m,model1var_360
361,zsqrt_n_cesspools_site500m,model1var_361
362,zsqrt_n_cesspools_DARshed,model1var_362
363,zsqrt_n_cesspools_DARshed100m,model1var_363
364,zsqrt_n_cesspools_DARshed500m,model1var_364
365,zsqrt_n_cesspools_DARshed1km,model1var_365
366,zsqrt_n_cesspools_DARshed2km,model1var_366
367,zsqrt_n_cesspools_NHDshed,model1var_367
368,zsqrt_n_cesspools_NHDshed100m,model1var_368
369,zsqrt_n_cesspools_NHDshed500m,model1var_369
370,zsqrt_n_cesspools_NHDshed1km,model1var_370
371,zsqrt_n_cesspools_NHDshed2km,model1var_371
